citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
90 FR 8633, 2025-02097,8636,https://www.federalregister.gov/documents/2025/01/31/2025-02097/ending-illegal-discrimination-and-restoring-merit-based-opportunity,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02097.pdf,Presidential Document,Executive Order,01/31/2025,21/1/25,8633,Ending Illegal Discrimination and Restoring Merit-Based Opportunity,"Revokes: EO 11246, September 24, 1965; EO 12898, February 11, 1994; EO 13583, August 18, 2011; EO 13672, July 21, 2014; Memo. of October 5, 2016",14173,
90 FR 8643, 2025-02121,8645,https://www.federalregister.gov/documents/2025/01/31/2025-02121/presidents-council-of-advisors-on-science-and-technology,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02121.pdf,Presidential Document,Executive Order,01/31/2025,23/1/25,8643,President's Council of Advisors on Science and Technology,"See: EO 12968, August 2, 1995; EO 14009, September 29, 2023
Revokes: EO 14007, January 27, 2021",14177,
90 FR 8647, 2025-02123,8650,https://www.federalregister.gov/documents/2025/01/31/2025-02123/strengthening-american-leadership-in-digital-financial-technology,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02123.pdf,Presidential Document,Executive Order,01/31/2025,23/1/25,8647,Strengthening American Leadership in Digital Financial Technology,"Revokes: EO 14067, March 9, 2022",14178,
90 FR 8751, 2025-02175,8752,https://www.federalregister.gov/documents/2025/01/31/2025-02175/enforcing-the-hyde-amendment,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02175.pdf,Presidential Document,Executive Order,01/31/2025,24/1/25,8751,Enforcing the Hyde Amendment,"Revokes: EO 14076, July 8, 2022; EO 14079, August 3, 2022",14182,
90 FR 8629, 2025-02096,8631,https://www.federalregister.gov/documents/2025/01/31/2025-02096/restoring-names-that-honor-american-greatness,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02096.pdf,Presidential Document,Executive Order,01/31/2025,20/1/25,8629,Restoring Names That Honor American Greatness,,14172,
90 FR 8637, 2025-02098,8637,https://www.federalregister.gov/documents/2025/01/31/2025-02098/revocation-of-certain-executive-orders,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02098.pdf,Presidential Document,Executive Order,01/31/2025,21/1/25,8637,Revocation of Certain Executive Orders,,14174,
90 FR 8639, 2025-02103,8640,https://www.federalregister.gov/documents/2025/01/31/2025-02103/designation-of-ansar-allah-as-a-foreign-terrorist-organization,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02103.pdf,Presidential Document,Executive Order,01/31/2025,22/1/25,8639,Designation of Ansar Allah as a Foreign Terrorist Organization,,14175,
90 FR 8641, 2025-02116,8642,https://www.federalregister.gov/documents/2025/01/31/2025-02116/declassification-of-records-concerning-the-assassinations-of-president-john-f-kennedy-senator-robert,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02116.pdf,Presidential Document,Executive Order,01/31/2025,23/1/25,8641,"Declassification of Records Concerning the Assassinations of President John F. Kennedy, Senator Robert F. Kennedy, and the Reverend Dr. Martin Luther King, Jr.",,14176,
90 FR 8741, 2025-02172,8742,https://www.federalregister.gov/documents/2025/01/31/2025-02172/removing-barriers-to-american-leadership-in-artificial-intelligence,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02172.pdf,Presidential Document,Executive Order,01/31/2025,23/1/25,8741,Removing Barriers to American Leadership in Artificial Intelligence,,14179,
90 FR 8743, 2025-02173,8745,https://www.federalregister.gov/documents/2025/01/31/2025-02173/council-to-assess-the-federal-emergency-management-agency,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02173.pdf,Presidential Document,Executive Order,01/31/2025,24/1/25,8743,Council To Assess the Federal Emergency Management Agency,,14180,
90 FR 8747, 2025-02174,8750,https://www.federalregister.gov/documents/2025/01/31/2025-02174/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02174.pdf,Presidential Document,Executive Order,01/31/2025,24/1/25,8747,Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas,,14181,
90 FR 8615, 2025-02090,8618,https://www.federalregister.gov/documents/2025/01/30/2025-02090/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02090.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8615,Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government,"Rescinds: EO 13988, January 20, 2021; EO 14004, January 25, 2021; EO 14021, March 8, 2021; EO 14075, June 15, 2022",14168,
90 FR 8459, 2025-02011,8461,https://www.federalregister.gov/documents/2025/01/30/2025-02011/realigning-the-united-states-refugee-admissions-program,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02011.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8459,Realigning the United States Refugee Admissions Program,"Revokes: EO 14013, February 4, 2021",14163,
90 FR 8451, 2025-02009,8453,https://www.federalregister.gov/documents/2025/01/30/2025-02009/protecting-the-united-states-from-foreign-terrorists-and-other-national-security-and-public-safety,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02009.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8451,Protecting the United States From Foreign Terrorists and Other National Security and Public Safety Threats,,14161,
90 FR 8455, 2025-02010,8457,https://www.federalregister.gov/documents/2025/01/30/2025-02010/putting-america-first-in-international-environmental-agreements,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02010.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8455,Putting America First in International Environmental Agreements,,14162,
90 FR 8463, 2025-02012,8465,https://www.federalregister.gov/documents/2025/01/30/2025-02012/restoring-the-death-penalty-and-protecting-public-safety,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02012.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8463,Restoring the Death Penalty and Protecting Public Safety,,14164,
90 FR 8467, 2025-02015,8469,https://www.federalregister.gov/documents/2025/01/30/2025-02015/securing-our-borders,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02015.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8467,Securing Our Borders,,14165,
90 FR 8611, 2025-02087,8612,https://www.federalregister.gov/documents/2025/01/30/2025-02087/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02087.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8611,Application of Protecting Americans From Foreign Adversary Controlled Applications Act to TikTok,,14166,
90 FR 8613, 2025-02089,8614,https://www.federalregister.gov/documents/2025/01/30/2025-02089/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02089.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8613,Clarifying the Military's Role in Protecting the Territorial Integrity of the United States,,14167,
90 FR 8619, 2025-02091,8620,https://www.federalregister.gov/documents/2025/01/30/2025-02091/reevaluating-and-realigning-united-states-foreign-aid,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02091.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8619,Reevaluating and Realigning United States Foreign Aid,,14169,
90 FR 8621, 2025-02094,8623,https://www.federalregister.gov/documents/2025/01/30/2025-02094/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02094.pdf,Presidential Document,Executive Order,01/30/2025,20/1/25,8621,Reforming the Federal Hiring Process and Restoring Merit to Government Service,,14170,
90 FR 8353, 2025-01956,8359,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01956.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8353,Unleashing American Energy,"Revokes: EO 11991, May 24, 1977; EO 13990, January 20, 2021; EO 13992, January 20, 2021; EO 14008, January 27, 2021; EO 14007, January 27, 2021; EO 14013, February 4, 2021; EO 14027, May 7, 2021; EO 14030, May 20, 2021; EO 14037, August 5, 2021; EO 14057, December 8, 2021; EO 14072, April 22, 2022; EO 14082, September 12, 2022; EO 14096, April 21, 2023
See: Memo. of January 27, 2021",14154,
90 FR 8361, 2025-01957,8362,https://www.federalregister.gov/documents/2025/01/29/2025-01957/withdrawing-the-united-states-from-the-world-health-organization,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01957.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8361,Withdrawing the United States From the World Health Organization,"Revokes: EO 13987, January 20, 2021",14155,
90 FR 8443, 2025-02006,8448,https://www.federalregister.gov/documents/2025/01/29/2025-02006/protecting-the-american-people-against-invasion,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02006.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8443,Protecting the American People Against Invasion,"Revokes: EO 13993, January 20, 2021; EO 14010, February 2, 2021; EO 14011, February 2, 2021; EO 14012, February 2, 2021",14159,
90 FR 8339, 2025-01953,8341,https://www.federalregister.gov/documents/2025/01/29/2025-01953/ending-radical-and-wasteful-government-dei-programs-and-preferencing,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01953.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8339,Ending Radical and Wasteful Government DEI Programs and Preferencing,,14151,
90 FR 8343, 2025-01954,8346,https://www.federalregister.gov/documents/2025/01/29/2025-01954/holding-former-government-officials-accountable-for-election-interference-and-improper-disclosure-of,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01954.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8343,Holding Former Government Officials Accountable for Election Interference and Improper Disclosure of Sensitive Governmental Information,,14152,
90 FR 8347, 2025-01955,8351,https://www.federalregister.gov/documents/2025/01/29/2025-01955/unleashing-alaskas-extraordinary-resource-potential,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01955.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8347,Unleashing Alaska's Extraordinary Resource Potential,,14153,
90 FR 8433, 2025-02003,8437,https://www.federalregister.gov/documents/2025/01/29/2025-02003/declaring-a-national-energy-emergency,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02003.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8433,Declaring a National Energy Emergency,,14156,
90 FR 8441, 2025-02005,8442,https://www.federalregister.gov/documents/2025/01/29/2025-02005/establishing-and-implementing-the-presidents-department-of-government-efficiency,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02005.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8441,"Establishing and Implementing the President's ""Department of Government Efficiency""",,14158,
90 FR 8449, 2025-02007,8450,https://www.federalregister.gov/documents/2025/01/29/2025-02007/protecting-the-meaning-and-value-of-american-citizenship,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02007.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8449,Protecting the Meaning and Value of American Citizenship,,14160,
90 FR 8337, 2025-01952,8337,https://www.federalregister.gov/documents/2025/01/29/2025-01952/america-first-policy-directive-to-the-secretary-of-state,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01952.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8337,America First Policy Directive to the Secretary of State,"See: EO 13985, January 20, 2021",14150,
90 FR 8439, 2025-02004,8440,https://www.federalregister.gov/documents/2025/01/29/2025-02004/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02004.pdf,Presidential Document,Executive Order,01/29/2025,20/1/25,8439,Designating Cartels and Other Organizations as Foreign Terrorist Organizations and Specially Designated Global Terrorists,"Amends: EO 13224, September 23, 2001",14157,
90 FR 8235, 2025-01900,8236,https://www.federalregister.gov/documents/2025/01/28/2025-01900/ending-the-weaponization-of-the-federal-government,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01900.pdf,Presidential Document,Executive Order,01/28/2025,20/1/25,8235,Ending the Weaponization of the Federal Government,,14147,
90 FR 8243, 2025-01902,8244,https://www.federalregister.gov/documents/2025/01/28/2025-01902/restoring-freedom-of-speech-and-ending-federal-censorship,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01902.pdf,Presidential Document,Executive Order,01/28/2025,20/1/25,8243,Restoring Freedom of Speech and Ending Federal Censorship,,14149,
90 FR 8237, 2025-01901,8241,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01901.pdf,Presidential Document,Executive Order,01/28/2025,20/1/25,8237,Initial Rescissions of Harmful Executive Orders and Actions,"Revokes: EO 13985, January 20, 2021; EO 13986, January 20, 2021; EO 13987, January 20, 2021; EO 13988, January 20, 2021; EO 13989, January 20, 2021; EO 13990, January 20, 2021; EO 13992, January 20, 2021; EO 13993, January 20, 2021; EO 13995, January 21, 2021; EO 13996, January 21, 2021; EO 13997, January 21, 2021; EO 13999, January 21, 2021; EO 14000, January 21, 2021; EO 14002, January 22, 2021; EO 14003, January 22, 2021; EO 14004, January 25, 2021; EO 14006, January 26, 2021; EO 14007, January 27, 2021; EO 14008, January 27, 2021; EO 14009, January 28, 2021; EO 14010, February 2, 2021; EO 14011, February 2, 2021; EO 14012, February 2, 2021; EO 14013, February 4, 2021; EO 14015, February 14, 2021; EO 14018, February 24, 2021; EO 14019, March 7, 2021; EO 14020, March 8, 2021; EO 14021, March 8, 2021; EO 14022, April 1, 2021; EO 14023, April 9, 2021; EO 14027, May 7, 2021; EO 14029, May 14, 2021; EO 14030, May 20, 2021; EO 14031, May 28, 2021; EO 14035, June 25, 2021; EO 14037, August 5, 2021; EO 14044; EO 14045, September 13, 2021; EO 14049, October 11, 2021; EO 14050, October 19, 2021; EO 14052, November 15, 2021; EO 14055, November 18, 2021; EO 14057, December 8, 2021; EO 14060, December 15, 2021; EO 14069, March 15, 2022; EO 14070, April 5, 2022; EO 14074, May 25, 2022; EO 14075, June 15, 2022; EO 14082, September 12, 2022; EO 14084, September 30, 2022; EO 14087, October 14, 2022; EO 14089, December 13, 2022; EO 14091, February 16, 2023; Memo. of March 13, 2023; EO 14094, April 6, 2023; EO 14096, April 21, 2023; EO 14099, May 9, 2023; EO 14110, October 30, 2023; EO 14115, February 1, 2024; EO 14124, July 17, 2024; EO 14134, January 3, 2025; EO 14135, January 3, 2025; EO 14136, January 3, 2025; EO 14137, January 3, 2025; EO 14138, January 3, 2025; EO 14139, January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 6, 2025; Memo. of January 6, 2025; Memo. of January 14, 2025; Memo. of January 14, 2025; EO 14143, January 16, 2025",14148,
90 FR 8105, 2025-01758,8107,https://www.federalregister.gov/documents/2025/01/24/2025-01758/helping-left-behind-communities-make-a-comeback,https://www.govinfo.gov/content/pkg/FR-2025-01-24/pdf/2025-01758.pdf,Presidential Document,Executive Order,01/24/2025,19/1/25,8105,Helping Left-Behind Communities Make a Comeback,,,
90 FR 8109, 2025-01759,8110,https://www.federalregister.gov/documents/2025/01/24/2025-01759/partial-revocation-of-executive-order-13961,https://www.govinfo.gov/content/pkg/FR-2025-01-24/pdf/2025-01759.pdf,Presidential Document,Executive Order,01/24/2025,19/1/25,8109,Partial Revocation of Executive Order 13961,,14145,
90 FR 5469, 2025-01395,5489,https://www.federalregister.gov/documents/2025/01/17/2025-01395/advancing-united-states-leadership-in-artificial-intelligence-infrastructure,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-01395.pdf,Presidential Document,Executive Order,01/17/2025,14/1/25,5469,Advancing United States Leadership in Artificial Intelligence Infrastructure,"Revokes in part: EO 13961, December 7, 2020",14146,
90 FR 6709, 2025-01437,6710,https://www.federalregister.gov/documents/2025/01/17/2025-01437/taking-additional-steps-with-respect-to-the-situation-in-syria,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-01437.pdf,Presidential Document,Executive Order,01/17/2025,15/1/25,6709,Taking Additional Steps With Respect to the Situation in Syria,"See: EO 14028, May 12, 2021; Memo. of November 30, 2022; EO 14110, October 30, 2023; EO 14126, September 6, 2024",14141,
90 FR 6751, 2025-01467,6753,https://www.federalregister.gov/documents/2025/01/17/2025-01467/providing-for-the-appointment-of-alumni-of-americorps-to-the-competitive-service,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-01467.pdf,Presidential Document,Executive Order,01/17/2025,16/1/25,6751,Providing for the Appointment of Alumni of AmeriCorps to the Competitive Service,"Amends: EO 13894, October 14, 2019",14142,
90 FR 6755, 2025-01470,6771,https://www.federalregister.gov/documents/2025/01/17/2025-01470/strengthening-and-promoting-innovation-in-the-nations-cybersecurity,https://www.govinfo.gov/content/pkg/FR-2025-01-17/pdf/2025-01470.pdf,Presidential Document,Executive Order,01/17/2025,16/1/25,6755,Strengthening and Promoting Innovation in the Nation's Cybersecurity,"Revoked by: EO 14148, January 20, 2025",14143,
90 FR 2589, 2025-00622,2591,https://www.federalregister.gov/documents/2025/01/13/2025-00622/taking-additional-steps-with-respect-to-the-situation-in-the-western-balkans,https://www.govinfo.gov/content/pkg/FR-2025-01-13/pdf/2025-00622.pdf,Presidential Document,Executive Order,01/13/2025,8/1/25,2589,Taking Additional Steps With Respect to the Situation in the Western Balkans,"Amends: EO 13694, April 1, 2015
See: EO 13757, December 28, 2016; EO 13984, January 19, 2021; EO 14028, May 12, 2021",14144,
90 FR 2577, 2025-00595,2578,https://www.federalregister.gov/documents/2025/01/13/2025-00595/providing-an-order-of-succession-within-the-department-of-agriculture,https://www.govinfo.gov/content/pkg/FR-2025-01-13/pdf/2025-00595.pdf,Presidential Document,Executive Order,01/13/2025,3/1/25,2577,Providing an Order of Succession Within the Department of Agriculture,"See: EO 13219, June 26, 2001; EO 13304, May 28, 2003",14140,
90 FR 2579, 2025-00603,2580,https://www.federalregister.gov/documents/2025/01/13/2025-00603/providing-an-order-of-succession-within-the-department-of-homeland-security,https://www.govinfo.gov/content/pkg/FR-2025-01-13/pdf/2025-00603.pdf,Presidential Document,Executive Order,01/13/2025,3/1/25,2579,Providing an Order of Succession Within the Department of Homeland Security,"Revokes: EO 13612, May 21, 2012
Revoked by: EO 14148, January 20, 2025",14134,
90 FR 2581, 2025-00611,2582,https://www.federalregister.gov/documents/2025/01/13/2025-00611/providing-an-order-of-succession-within-the-department-of-justice,https://www.govinfo.gov/content/pkg/FR-2025-01-13/pdf/2025-00611.pdf,Presidential Document,Executive Order,01/13/2025,3/1/25,2581,Providing an Order of Succession Within the Department of Justice,"Revokes: EO 13753, December 9, 2016 
Amends: EO 13286, February 28, 2003
Revoked by: EO 14148, January 20, 2025",14135,
90 FR 2583, 2025-00618,2584,https://www.federalregister.gov/documents/2025/01/13/2025-00618/providing-an-order-of-succession-within-the-department-of-the-treasury,https://www.govinfo.gov/content/pkg/FR-2025-01-13/pdf/2025-00618.pdf,Presidential Document,Executive Order,01/13/2025,3/1/25,2583,Providing an Order of Succession Within the Department of the Treasury,"Revokes: EO 13787, March 31, 2017
Revoked by: EO 14148, January 20, 2025",14136,
90 FR 2585, 2025-00619,2586,https://www.federalregister.gov/documents/2025/01/13/2025-00619/providing-an-order-of-succession-within-the-office-of-management-and-budget,https://www.govinfo.gov/content/pkg/FR-2025-01-13/pdf/2025-00619.pdf,Presidential Document,Executive Order,01/13/2025,3/1/25,2585,Providing an Order of Succession Within the Office of Management and Budget,"Revokes: EO 13735, August 12, 2016
Revoked by: EO 14148, January 20, 2025",14137,
90 FR 2587, 2025-00620,2588,https://www.federalregister.gov/documents/2025/01/13/2025-00620/providing-an-order-of-succession-within-the-office-of-the-national-cyber-director,https://www.govinfo.gov/content/pkg/FR-2025-01-13/pdf/2025-00620.pdf,Presidential Document,Executive Order,01/13/2025,3/1/25,2587,Providing an Order of Succession Within the Office of the National Cyber Director,"Revokes: EO 13615, May 21, 2012
Revoked by: EO 14148, January 20, 2025",14138,
90 FR 187, 2024-31766,188,https://www.federalregister.gov/documents/2025/01/03/2024-31766/providing-for-the-closing-of-executive-departments-and-agencies-of-the-federal-government-on-january,https://www.govinfo.gov/content/pkg/FR-2025-01-03/pdf/2024-31766.pdf,Presidential Document,Executive Order,1/3/25,30/12/24,187,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on January 9, 2025","Revoked by: EO 14148, January 20, 2025",14139,
89 FR 106963, 2024-31466,106975,https://www.federalregister.gov/documents/2024/12/30/2024-31466/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2024-12-30/pdf/2024-31466.pdf,Presidential Document,Executive Order,12/30/2024,23/12/24,106963,Adjustments of Certain Rates of Pay,,14133,
89 FR 105343, 2024-31354,105376,https://www.federalregister.gov/documents/2024/12/27/2024-31354/2024-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2024-12-27/pdf/2024-31354.pdf,Presidential Document,Executive Order,12/27/2024,20/12/24,105343,"2024 Amendments to the Manual for Courts Martial, United States",,14132,
89 FR 105377, 2024-31355,105379,https://www.federalregister.gov/documents/2024/12/27/2024-31355/amendments-to-executive-orders-relating-to-certain-certificates-and-badges,https://www.govinfo.gov/content/pkg/FR-2024-12-27/pdf/2024-31355.pdf,Presidential Document,Executive Order,12/27/2024,20/12/24,105377,Amendments to Executive Orders Relating to Certain Certificates and Badges,"See: EO 12473, April 13, 1984",14130,
89 FR 104857, 2024-31143,104858,https://www.federalregister.gov/documents/2024/12/26/2024-31143/providing-for-the-closing-of-executive-departments-and-agencies-of-the-federal-government-on,https://www.govinfo.gov/content/pkg/FR-2024-12-26/pdf/2024-31143.pdf,Presidential Document,Executive Order,12/26/2024,18/12/24,104857,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2024","See: EO 13286, February 28, 2003; EO 13373, March 10, 2005",14131,
89 FR 93145, 2024-27850,93146,https://www.federalregister.gov/documents/2024/11/26/2024-27850/establishing-a-second-emergency-board-to-investigate-a-dispute-between-new-jersey-transit-rail,https://www.govinfo.gov/content/pkg/FR-2024-11-26/pdf/2024-27850.pdf,Presidential Document,Executive Order,11/26/2024,21/11/24,93145,Establishing a Second Emergency Board To Investigate a Dispute Between New Jersey Transit Rail Operations and Its Locomotive Engineers Represented by the Brotherhood of Locomotive Engineers and Trainmen,"See: EO 11582, February 11, 1971",14129,
89 FR 80345, 2024-22938,80350,https://www.federalregister.gov/documents/2024/10/02/2024-22938/combating-emerging-firearms-threats-and-improving-school-based-active-shooter-drills,https://www.govinfo.gov/content/pkg/FR-2024-10-02/pdf/2024-22938.pdf,Presidential Document,Executive Order,10/2/24,26/9/24,80345,Combating Emerging Firearms Threats and Improving School-Based Active-Shooter Drills,"See: EO 14125, July 24, 2024",14128,
89 FR 73559, 2024-20712,73564,https://www.federalregister.gov/documents/2024/09/11/2024-20712/investing-in-america-and-investing-in-american-workers,https://www.govinfo.gov/content/pkg/FR-2024-09-11/pdf/2024-20712.pdf,Presidential Document,Executive Order,9/11/24,6/9/24,73559,Investing in America and Investing in American Workers,,14127,
